Report layout: xt , Startlba ,   Blocks , Filesize , ISO image path
File data lba:  0 ,    19020 ,        1 ,       34 , '/.g1os-build-id'
File data lba:  0 ,    16765 ,      300 ,   614400 , '/EFI/BOOT/BOOTX64.EFI'
File data lba:  0 ,    17065 ,      300 ,   614400 , '/EFI/BOOT/bootx64.efi'
File data lba:  0 ,    17365 ,        1 ,     1473 , '/EFI/BOOT/grub.cfg'
File data lba:  0 ,     2110 ,        1 ,      569 , '/base/etc/maca-lite/autostart'
File data lba:  0 ,     2111 ,        1 ,      699 , '/base/etc/maca-lite/defaults'
File data lba:  0 ,     2112 ,        1 ,        9 , '/base/etc/maca-lite/mode'
File data lba:  0 ,     2113 ,        1 ,      571 , '/base/etc/modprobe.d/maclite-apple.conf'
File data lba:  0 ,     2114 ,      162 ,   329992 , '/base/usr/bin/maclite-browser'
File data lba:  0 ,     2276 ,        1 ,     2044 , '/base/usr/bin/maclite-install'
File data lba:  0 ,     2277 ,       12 ,    23785 , '/base/usr/bin/maclite-installer-backend'
File data lba:  0 ,     2289 ,      152 ,   309384 , '/base/usr/bin/maclite-video'
File data lba:  0 ,     2441 ,      365 ,   745664 , '/base/usr/bin/mica-comp'
File data lba:  0 ,     2806 ,      253 ,   517808 , '/base/usr/bin/mica-finder'
File data lba:  0 ,     3059 ,      335 ,   685352 , '/base/usr/bin/mica-installer'
File data lba:  0 ,     3394 ,      220 ,   449280 , '/base/usr/bin/mica-music'
File data lba:  0 ,     3614 ,      218 ,   444752 , '/base/usr/bin/mica-pdf'
File data lba:  0 ,     3832 ,      302 ,   616528 , '/base/usr/bin/mica-player'
File data lba:  0 ,     4134 ,      324 ,   661520 , '/base/usr/bin/mica-settings'
File data lba:  0 ,     4458 ,      241 ,   492760 , '/base/usr/bin/mica-shell'
File data lba:  0 ,     4699 ,      306 ,   625712 , '/base/usr/bin/mica-sysinfo'
File data lba:  0 ,     5005 ,      226 ,   460888 , '/base/usr/bin/mica-terminal'
File data lba:  0 ,     5231 ,      222 ,   454656 , '/base/usr/bin/mica-textedit'
File data lba:  0 ,     5453 ,      238 ,   486608 , '/base/usr/bin/mica-viewer'
File data lba:  0 ,     5691 ,        1 ,      272 , '/base/usr/share/applications/disneyplus.desktop'
File data lba:  0 ,     5692 ,        1 ,      349 , '/base/usr/share/applications/maclite-browser.desktop'
File data lba:  0 ,     5693 ,        1 ,      274 , '/base/usr/share/applications/maclite-installer.desktop'
File data lba:  0 ,     5694 ,        1 ,      349 , '/base/usr/share/applications/maclite-video.desktop'
File data lba:  0 ,     5695 ,        1 ,      279 , '/base/usr/share/applications/mica-pdf.desktop'
File data lba:  0 ,     5696 ,        1 ,      239 , '/base/usr/share/applications/netflix.desktop'
File data lba:  0 ,     5697 ,        1 ,      284 , '/base/usr/share/applications/primevideo.desktop'
File data lba:  0 ,     5698 ,        1 ,      245 , '/base/usr/share/applications/youtube.desktop'
File data lba:  0 ,     5699 ,        5 ,     8587 , '/base/usr/share/maca-lite/catalog/maclite-offline.cat'
File data lba:  0 ,     5704 ,        1 ,     1132 , '/base/usr/share/maca-lite/runtime-provenance.sha256'
File data lba:  0 ,     5705 ,       13 ,    25232 , '/base/usr/share/maca-lite/scripts/hardware-check.sh'
File data lba:  0 ,     5718 ,      300 ,   614400 , '/boot/bootx64.efi'
File data lba:  0 ,       62 ,     2048 ,  4194304 , '/boot/efi.img'
File data lba:  0 ,     6018 ,        1 ,     1473 , '/boot/grub/grub.cfg'
File data lba:  0 ,     6019 ,        1 ,     1473 , '/boot/grub.cfg'
File data lba:  0 ,     6020 ,     4512 ,  9240318 , '/boot/initrd-maclite.img'
File data lba:  0 ,    10532 ,     6233 , 12764160 , '/boot/vmlinuz-maclite'
File data lba:  0 ,    17366 ,     1654 ,  3387392 , '/live/maclite-base.sqfs'
